file,run_name,hp.local_batch_size,hp.learning_rate,hp.ngrc_d_model,hp.ngrc_lag,hp.ngrc_poly_degree,final_train_perplexity
/work/gp36/b20072/NGRC_LM/src/reports_ngrc/NGRC_LM(100.01M_d512_lag256_poly1_rank512_lr0.0005_bs200_seq256_20251214-120545_report.txt,NGRC_LM(100.01M_d512_lag256_poly1_rank512_lr0.0005_bs200_seq256_20251214-120545,200,0.0005,512,256,1.0,422.27355693435413
/work/gp36/b20072/NGRC_LM/src/reports_ngrc/NGRC_LM(108.40M_d512_lag96_poly3_rank512_lr0.0005_bs200_seq256_20251216-191616_report.txt,NGRC_LM(108.40M_d512_lag96_poly3_rank512_lr0.0005_bs200_seq256_20251216-191616,200,0.0005,512,96,3.0,295.5974904004064
/work/gp36/b20072/NGRC_LM/src/reports_ngrc/NGRC_LM(19.09M_d64_lag16_poly1_rank512_lr0.0005_bs200_seq256_20251214-094843_report.txt,NGRC_LM(19.09M_d64_lag16_poly1_rank512_lr0.0005_bs200_seq256_20251214-094843,200,0.0005,64,16,1.0,606.5668710203063
/work/gp36/b20072/NGRC_LM/src/reports_ngrc/NGRC_LM(19.61M_d64_lag16_poly2_rank512_lr0.0005_bs200_seq256_20251214-094843_report.txt,NGRC_LM(19.61M_d64_lag16_poly2_rank512_lr0.0005_bs200_seq256_20251214-094843,200,0.0005,64,16,2.0,502.5511749444785
/work/gp36/b20072/NGRC_LM/src/reports_ngrc/NGRC_LM(19.61M_d64_lag32_poly1_rank512_lr0.0005_bs200_seq256_20251214-095514_report.txt,NGRC_LM(19.61M_d64_lag32_poly1_rank512_lr0.0005_bs200_seq256_20251214-095514,200,0.0005,64,32,1.0,633.9681462279264
/work/gp36/b20072/NGRC_LM/src/reports_ngrc/NGRC_LM(20.14M_d64_lag16_poly3_rank512_lr0.0005_bs200_seq256_20251214-095224_report.txt,NGRC_LM(20.14M_d64_lag16_poly3_rank512_lr0.0005_bs200_seq256_20251214-095224,200,0.0005,64,16,3.0,455.43478621232015
/work/gp36/b20072/NGRC_LM/src/reports_ngrc/NGRC_LM(20.14M_d64_lag48_poly1_rank512_lr0.0005_bs200_seq256_20251216-162331_report.txt,NGRC_LM(20.14M_d64_lag48_poly1_rank512_lr0.0005_bs200_seq256_20251216-162331,200,0.0005,64,48,1.0,634.492550449158
/work/gp36/b20072/NGRC_LM/src/reports_ngrc/NGRC_LM(20.66M_d64_lag16_poly4_rank512_lr0.0005_bs200_seq256_20251214-100452_report.txt,NGRC_LM(20.66M_d64_lag16_poly4_rank512_lr0.0005_bs200_seq256_20251214-100452,200,0.0005,64,16,4.0,422.82825324375676
/work/gp36/b20072/NGRC_LM/src/reports_ngrc/NGRC_LM(20.66M_d64_lag16_poly4_rank512_lr0.0005_bs200_seq256_20251216-162331_report.txt,NGRC_LM(20.66M_d64_lag16_poly4_rank512_lr0.0005_bs200_seq256_20251216-162331,200,0.0005,64,16,4.0,421.30433770620516
/work/gp36/b20072/NGRC_LM/src/reports_ngrc/NGRC_LM(20.66M_d64_lag32_poly2_rank512_lr0.0005_bs200_seq256_20251214-095527_report.txt,NGRC_LM(20.66M_d64_lag32_poly2_rank512_lr0.0005_bs200_seq256_20251214-095527,200,0.0005,64,32,2.0,515.2652595628649
/work/gp36/b20072/NGRC_LM/src/reports_ngrc/NGRC_LM(20.66M_d64_lag64_poly1_rank512_lr0.0005_bs200_seq256_20251214-100151_report.txt,NGRC_LM(20.66M_d64_lag64_poly1_rank512_lr0.0005_bs200_seq256_20251214-100151,200,0.0005,64,64,1.0,649.6831454781998
/work/gp36/b20072/NGRC_LM/src/reports_ngrc/NGRC_LM(21.19M_d64_lag16_poly5_rank512_lr0.0005_bs200_seq256_20251214-101136_report.txt,NGRC_LM(21.19M_d64_lag16_poly5_rank512_lr0.0005_bs200_seq256_20251214-101136,200,0.0005,64,16,5.0,409.6867241943352
/work/gp36/b20072/NGRC_LM/src/reports_ngrc/NGRC_LM(21.19M_d64_lag16_poly5_rank512_lr0.0005_bs200_seq256_20251216-162331_report.txt,NGRC_LM(21.19M_d64_lag16_poly5_rank512_lr0.0005_bs200_seq256_20251216-162331,200,0.0005,64,16,5.0,405.4622486695739
/work/gp36/b20072/NGRC_LM/src/reports_ngrc/NGRC_LM(21.66M_d128_lag16_poly1_rank512_lr0.0005_bs200_seq256_20251214-102636_report.txt,NGRC_LM(21.66M_d128_lag16_poly1_rank512_lr0.0005_bs200_seq256_20251214-102636,200,0.0005,128,16,1.0,488.7020067714542
/work/gp36/b20072/NGRC_LM/src/reports_ngrc/NGRC_LM(21.71M_d64_lag16_poly6_rank512_lr0.0005_bs200_seq256_20251214-101842_report.txt,NGRC_LM(21.71M_d64_lag16_poly6_rank512_lr0.0005_bs200_seq256_20251214-101842,200,0.0005,64,16,6.0,429.51898342045746
/work/gp36/b20072/NGRC_LM/src/reports_ngrc/NGRC_LM(21.71M_d64_lag16_poly6_rank512_lr0.0005_bs200_seq256_20251216-162331_report.txt,NGRC_LM(21.71M_d64_lag16_poly6_rank512_lr0.0005_bs200_seq256_20251216-162331,200,0.0005,64,16,6.0,426.4474142273352
/work/gp36/b20072/NGRC_LM/src/reports_ngrc/NGRC_LM(21.71M_d64_lag32_poly3_rank512_lr0.0005_bs200_seq256_20251214-095908_report.txt,NGRC_LM(21.71M_d64_lag32_poly3_rank512_lr0.0005_bs200_seq256_20251214-095908,200,0.0005,64,32,3.0,462.8546273146863
/work/gp36/b20072/NGRC_LM/src/reports_ngrc/NGRC_LM(21.71M_d64_lag96_poly1_rank512_lr0.0005_bs200_seq256_20251216-163018_report.txt,NGRC_LM(21.71M_d64_lag96_poly1_rank512_lr0.0005_bs200_seq256_20251216-163018,200,0.0005,64,96,1.0,655.3799783654132
/work/gp36/b20072/NGRC_LM/src/reports_ngrc/NGRC_LM(22.23M_d64_lag16_poly7_rank512_lr0.0005_bs200_seq256_20251214-102549_report.txt,NGRC_LM(22.23M_d64_lag16_poly7_rank512_lr0.0005_bs200_seq256_20251214-102549,200,0.0005,64,16,7.0,448.28926697365677
/work/gp36/b20072/NGRC_LM/src/reports_ngrc/NGRC_LM(22.71M_d128_lag16_poly2_rank512_lr0.0005_bs200_seq256_20251214-103024_report.txt,NGRC_LM(22.71M_d128_lag16_poly2_rank512_lr0.0005_bs200_seq256_20251214-103024,200,0.0005,128,16,2.0,396.2369028422126
/work/gp36/b20072/NGRC_LM/src/reports_ngrc/NGRC_LM(22.71M_d128_lag32_poly1_rank512_lr0.0005_bs200_seq256_20251214-103315_report.txt,NGRC_LM(22.71M_d128_lag32_poly1_rank512_lr0.0005_bs200_seq256_20251214-103315,200,0.0005,128,32,1.0,503.4767780421853
